Bedrooms,Values,Total
4,2/29/2016,473457
4,3/31/2016,474409
4,4/30/2016,475317
4,5/31/2016,474004
4,6/30/2016,473070
4,7/31/2016,472263
4,8/31/2016,471779
4,9/30/2016,471166
4,10/31/2016,470377
4,11/30/2016,469930
4,12/31/2016,468806
4,1/31/2017,468080
4,2/28/2017,467080
4,3/31/2017,465889
4,4/30/2017,464246
4,5/31/2017,464023
4,6/30/2017,463987
4,7/31/2017,463585
4,8/31/2017,463436
4,9/30/2017,462928
4,10/31/2017,463299
4,11/30/2017,461812
4,12/31/2017,461069
4,1/31/2018,459353
4,2/28/2018,458250
4,3/31/2018,457325
4,4/30/2018,456469
4,5/31/2018,455883
4,6/30/2018,454734
4,7/31/2018,453786
4,8/31/2018,452338
4,9/30/2018,451463
4,10/31/2018,449717
4,11/30/2018,450723
4,12/31/2018,450634
4,1/31/2019,451538
4,2/28/2019,449513
4,3/31/2019,448955
4,4/30/2019,449009
4,5/31/2019,448788
4,6/30/2019,448838
4,7/31/2019,448383
4,8/31/2019,448193
4,9/30/2019,447560
4,10/31/2019,447137
4,11/30/2019,446180
4,12/31/2019,444809
4,1/31/2020,443280
4,2/29/2020,443954
4,3/31/2020,444276
4,4/30/2020,444277
4,5/31/2020,444446
4,6/30/2020,444955
4,7/31/2020,446170
4,8/31/2020,447755
4,9/30/2020,449881
4,10/31/2020,452519
4,11/30/2020,455077
4,12/31/2020,458819
4,1/31/2021,462917
5,1/31/2015,787990
5,2/28/2015,790033
5,3/31/2015,791340
5,4/30/2015,792122
5,5/31/2015,794121
5,6/30/2015,794766
5,7/31/2015,795807
5,8/31/2015,798435
5,9/30/2015,803045
5,10/31/2015,806104
5,11/30/2015,807740
5,12/31/2015,809671
5,1/31/2016,813656
5,2/29/2016,816286
5,3/31/2016,815928
5,4/30/2016,812490
5,5/31/2016,808147
5,6/30/2016,805957
5,7/31/2016,805881
5,8/31/2016,802104
5,9/30/2016,797474
5,10/31/2016,791473
5,11/30/2016,787714
5,12/31/2016,782246
5,1/31/2017,776620
5,2/28/2017,770859
5,3/31/2017,766716
5,4/30/2017,765096
5,5/31/2017,764465
5,6/30/2017,763573
5,7/31/2017,759632
5,8/31/2017,758450
5,9/30/2017,755267
5,10/31/2017,754530
5,11/30/2017,751203
5,12/31/2017,752107
5,1/31/2018,752390
5,2/28/2018,753965
5,3/31/2018,753956
5,4/30/2018,753102
5,5/31/2018,751520
5,6/30/2018,748399
5,7/31/2018,746996
5,8/31/2018,745110
5,9/30/2018,746399
5,10/31/2018,745232
5,11/30/2018,747523
5,12/31/2018,745249
5,1/31/2019,742793
5,2/28/2019,736548
5,3/31/2019,733201
5,4/30/2019,732854
5,5/31/2019,730318
5,6/30/2019,727564
5,7/31/2019,722090
5,8/31/2019,718435
5,9/30/2019,713647
5,10/31/2019,710405
5,11/30/2019,705923
5,12/31/2019,702922
5,1/31/2020,700244
5,2/29/2020,699690
5,3/31/2020,698106
5,4/30/2020,695127
5,5/31/2020,694260
5,6/30/2020,694655
5,7/31/2020,697251
5,8/31/2020,698968
5,9/30/2020,701111
5,10/31/2020,703419
5,11/30/2020,706214
5,12/31/2020,709939
5,1/31/2021,714459
